用户\设施,篮球场A,羽毛球馆,会议室101,多功能厅,健身房,阅览室,乒乓球室,舞蹈室,篮球场B,网球场,游泳池,瑜伽室,会议室102,大会议室,培训室,电子阅览室,棋牌室,儿童活动室,老年人活动中心
管理员张志诚,10.91,18.43,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
审核员张明远,0.0,-1.94,9.7,0.97,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
审核员王磊,0.0,0.0,0.0,0.0,6.789999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
房志博,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
陈旭,38.0,19.0,4.0,2.0,0.0,2.0,33.0,0.0,22.0,0.0,13.969999999999999,17.0,22.0,12.993333333333332,0.0,0.0,0.0,0.0,0.0
孙浩,0.0,0.0,7.653333333333334,0.0,0.0,1.9133333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8266666666666667,1.9133333333333333,0.0,0.0
赵文博,15.30666666666667,3.8266666666666667,1.9133333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
孙国韦,0.0,0.0,0.0,3.8133333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
赵文博,13.393333333333336,5.74,9.566666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.74,3.8266666666666667,0.0,0.0,0.0,0.0,0.0
房志博,6.0,20.0,0.0,16.0,0.0,20.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0
房志博,6.0,0.0,0.0,15.0,0.0,2.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,8.0,33.0
房志博,2.0,8.0,8.0,0.0,0.0,28.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,12.0,0.0
房志博,6.0,4.0,6.0,6.0,0.0,4.0,14.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
房,4.0,4.0,7.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
房志博,8.0,6.0,22.0,10.0,6.0,20.0,0.0,2.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0
张,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
房志博,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
